17.99,10.38,122.8
20.57,17.77,132.9
19.69,21.25,130
11.42,20.38,77.58
20.29,14.34,135.1
12.45,15.7,82.57
18.25,19.98,119.6
13.71,20.83,90.2
13,21.82,87.5
12.46,24.04,83.97
16.02,23.24,102.7
15.78,17.89,103.6
19.17,24.8,132.4
15.85,23.95,103.7
13.73,22.61,93.6
14.54,27.54,96.73
14.68,20.13,94.74
16.13,20.68,108.1
19.81,22.15,130
13.54,14.36,87.46
13.08,15.71,85.63
9.504,12.44,60.34
15.34,14.26,102.5
21.16,23.04,137.2
16.65,21.38,110
17.14,16.4,116
14.58,21.53,97.41
18.61,20.25,122.1
15.3,25.27,102.4
17.57,15.05,115
18.63,25.11,124.8
11.84,18.7,77.93
17.02,23.98,112.8
19.27,26.47,127.9
16.13,17.88,107
16.74,21.59,110.1
14.25,21.72,93.63
13.03,18.42,82.61
14.99,25.2,95.54
13.48,20.82,88.4
13.44,21.58,86.18
10.95,21.35,71.9
19.07,24.81,128.3
13.28,20.28,87.32
13.17,21.81,85.42
18.65,17.6,123.7
8.196,16.84,51.71
13.17,18.66,85.98
12.05,14.63,78.04
13.49,22.3,86.91
11.76,21.6,74.72
13.64,16.34,87.21
11.94,18.24,75.71
18.22,18.7,120.3
15.1,22.02,97.26
11.52,18.75,73.34
19.21,18.57,125.5
14.71,21.59,95.55
13.05,19.31,82.61
8.618,11.79,54.34
10.17,14.88,64.55
8.598,20.98,54.66
14.25,22.15,96.42
9.173,13.86,59.2
12.68,23.84,82.69
14.78,23.94,97.4
9.465,21.01,60.11
11.31,19.04,71.8
9.029,17.33,58.79
12.78,16.49,81.37
18.94,21.31,123.6
8.888,14.64,58.79
17.2,24.52,114.2
13.8,15.79,90.43
12.31,16.52,79.19
16.07,19.65,104.1
13.53,10.94,87.91
18.05,16.15,120.2
20.18,23.97,143.7
12.86,18,83.19
11.45,20.97,73.81
13.34,15.86,86.49
25.22,24.91,171.5
19.1,26.29,129.1
12,15.65,76.95
18.46,18.52,121.1
14.48,21.46,94.25
19.02,24.59,122
12.36,21.8,79.78
14.64,15.24,95.77
14.62,24.02,94.57
15.37,22.76,100.2
13.27,14.76,84.74
13.45,18.3,86.6
15.06,19.83,100.3
20.26,23.03,132.4
12.18,17.84,77.79
9.787,19.94,62.11
11.6,12.84,74.34
14.42,19.77,94.48
13.61,24.98,88.05
6.981,13.43,43.79
12.18,20.52,77.22
9.876,19.4,63.95
10.49,19.29,67.41
13.11,15.56,87.21
11.64,18.33,75.17
12.36,18.54,79.01
22.27,19.67,152.8
11.34,21.26,72.48
9.777,16.99,62.5
12.63,20.76,82.15
14.26,19.65,97.83
10.51,20.19,68.64
8.726,15.83,55.84
11.93,21.53,76.53
8.95,15.76,58.74
14.87,16.67,98.64
15.78,22.91,105.7
17.95,20.01,114.2
11.41,10.82,73.34
18.66,17.12,121.4
24.25,20.2,166.2
14.5,10.89,94.28
13.37,16.39,86.1
13.85,17.21,88.44
13.61,24.69,87.76
19,18.91,123.4
15.1,16.39,99.58
19.79,25.12,130.4
12.19,13.29,79.08
15.46,19.48,101.7
16.16,21.54,106.2
15.71,13.93,102
18.45,21.91,120.2
12.77,22.47,81.72
11.71,16.67,74.72
11.43,15.39,73.06
14.95,17.57,96.85
11.28,13.39,73
9.738,11.97,61.24
16.11,18.05,105.1
11.43,17.31,73.66
12.9,15.92,83.74
10.75,14.97,68.26
11.9,14.65,78.11
11.8,16.58,78.99
14.95,18.77,97.84
14.44,15.18,93.97
13.74,17.91,88.12
13,20.78,83.51
8.219,20.7,53.27
9.731,15.34,63.78
11.15,13.08,70.87
13.15,15.34,85.31
12.25,17.94,78.27
17.68,20.74,117.4
16.84,19.46,108.4
12.06,12.74,76.84
10.9,12.96,68.69
11.75,20.18,76.1
19.19,15.94,126.3
19.59,18.15,130.7
12.34,22.22,79.85
23.27,22.04,152.1
14.97,19.76,95.5
10.8,9.71,68.77
16.78,18.8,109.3
17.47,24.68,116.1
14.97,16.95,96.22
12.32,12.39,78.85
13.43,19.63,85.84
15.46,11.89,102.5
11.08,14.71,70.21
10.66,15.15,67.49
8.671,14.45,54.42
9.904,18.06,64.6
16.46,20.11,109.3
13.01,22.22,82.01
12.81,13.06,81.29
27.22,21.87,182.1
21.09,26.57,142.7
15.7,20.31,101.2
11.41,14.92,73.53
15.28,22.41,98.92
10.08,15.11,63.76
18.31,18.58,118.6
11.71,17.19,74.68
11.81,17.39,75.27
12.3,15.9,78.83
14.22,23.12,94.37
12.77,21.41,82.02
9.72,18.22,60.73
12.34,26.86,81.15
14.86,23.21,100.4
12.91,16.33,82.53
13.77,22.29,90.63
18.08,21.84,117.4
19.18,22.49,127.5
14.45,20.22,94.49
12.23,19.56,78.54
17.54,19.32,115.1
23.29,26.67,158.9
13.81,23.75,91.56
12.47,18.6,81.09
15.12,16.68,98.78
9.876,17.27,62.92
17.01,20.26,109.7
13.11,22.54,87.02
15.27,12.91,98.17
20.58,22.14,134.7
11.84,18.94,75.51
28.11,18.47,188.5
17.42,25.56,114.5
14.19,23.81,92.87
13.86,16.93,90.96
11.89,18.35,77.32
10.2,17.48,65.05
19.8,21.56,129.7
19.53,32.47,128
13.65,13.16,87.88
13.56,13.9,88.59
10.18,17.53,65.12
15.75,20.25,102.6
13.27,17.02,84.55
14.34,13.47,92.51
10.44,15.46,66.62
15,15.51,97.45
12.62,23.97,81.35
12.83,22.33,85.26
17.05,19.08,113.4
11.32,27.08,71.76
11.22,33.81,70.79
20.51,27.81,134.4
9.567,15.91,60.21
14.03,21.25,89.79
23.21,26.97,153.5
20.48,21.46,132.5
14.22,27.85,92.55
17.46,39.28,113.4
13.64,15.6,87.38
12.42,15.04,78.61
11.3,18.19,73.93
13.75,23.77,88.54
19.4,23.5,129.1
10.48,19.86,66.72
13.2,17.43,84.13
12.89,14.11,84.95
10.65,25.22,68.01
11.52,14.93,73.87
20.94,23.56,138.9
11.5,18.45,73.28
19.73,19.82,130.7
17.3,17.08,113
19.45,19.33,126.5
13.96,17.05,91.43
19.55,28.77,133.6
15.32,17.27,103.2
15.66,23.2,110.2
15.53,33.56,103.7
20.31,27.06,132.9
17.35,23.06,111
17.29,22.13,114.4
15.61,19.38,100
17.19,22.07,111.6
20.73,31.12,135.7
10.6,18.95,69.28
13.59,21.84,87.16
12.87,16.21,82.38
10.71,20.39,69.5
14.29,16.82,90.3
11.29,13.04,72.23
21.75,20.99,147.3
9.742,15.67,61.5
17.93,24.48,115.2
11.89,17.36,76.2
11.33,14.16,71.79
18.81,19.98,120.9
13.59,17.84,86.24
13.85,15.18,88.99
19.16,26.6,126.2
11.74,14.02,74.24
19.4,18.18,127.2
16.24,18.77,108.8
12.89,15.7,84.08
12.58,18.4,79.83
11.94,20.76,77.87
12.89,13.12,81.89
11.26,19.96,73.72
11.37,18.89,72.17
14.41,19.73,96.03
14.96,19.1,97.03
12.95,16.02,83.14
11.85,17.46,75.54
12.72,13.78,81.78
13.77,13.27,88.06
10.91,12.35,69.14
11.76,18.14,75
14.26,18.17,91.22
10.51,23.09,66.85
19.53,18.9,129.5
12.46,19.89,80.43
20.09,23.86,134.7
10.49,18.61,66.86
11.46,18.16,73.59
11.6,24.49,74.23
13.2,15.82,84.07
9,14.4,56.36
13.5,12.71,85.69
13.05,13.84,82.71
11.7,19.11,74.33
14.61,15.69,92.68
12.76,13.37,82.29
11.54,10.72,73.73
8.597,18.6,54.09
12.49,16.85,79.19
12.18,14.08,77.25
18.22,18.87,118.7
9.042,18.9,60.07
12.43,17,78.6
10.25,16.18,66.52
20.16,19.66,131.1
12.86,13.32,82.82
20.34,21.51,135.9
12.2,15.21,78.01
12.67,17.3,81.25
14.11,12.88,90.03
12.03,17.93,76.09
16.27,20.71,106.9
16.26,21.88,107.5
16.03,15.51,105.8
12.98,19.35,84.52
11.22,19.86,71.94
11.25,14.78,71.38
12.3,19.02,77.88
17.06,21,111.8
12.99,14.23,84.08
18.77,21.43,122.9
10.05,17.53,64.41
23.51,24.27,155.1
14.42,16.54,94.15
9.606,16.84,61.64
11.06,14.96,71.49
19.68,21.68,129.9
11.71,15.45,75.03
10.26,14.71,66.2
12.06,18.9,76.66
14.76,14.74,94.87
11.47,16.03,73.02
11.95,14.96,77.23
11.66,17.07,73.7
15.75,19.22,107.1
25.73,17.46,174.2
15.08,25.74,98
11.14,14.07,71.24
12.56,19.07,81.92
13.05,18.59,85.09
13.87,16.21,88.52
8.878,15.49,56.74
9.436,18.32,59.82
12.54,18.07,79.42
13.3,21.57,85.24
12.76,18.84,81.87
16.5,18.29,106.6
13.4,16.95,85.48
20.44,21.78,133.8
20.2,26.83,133.7
12.21,18.02,78.31
21.71,17.25,140.9
22.01,21.9,147.2
16.35,23.29,109
15.19,13.21,97.65
21.37,15.1,141.3
20.64,17.35,134.8
13.69,16.07,87.84
16.17,16.07,106.3
10.57,20.22,70.15
13.46,28.21,85.89
13.66,15.15,88.27
11.08,18.83,73.3
11.27,12.96,73.16
11.04,14.93,70.67
12.05,22.72,78.75
12.39,17.48,80.64
13.28,13.72,85.79
14.6,23.29,93.97
12.21,14.09,78.78
13.88,16.16,88.37
11.27,15.5,73.38
19.55,23.21,128.9
10.26,12.22,65.75
8.734,16.84,55.27
15.49,19.97,102.4
21.61,22.28,144.4
12.1,17.72,78.07
14.06,17.18,89.75
13.51,18.89,88.1
12.8,17.46,83.05
11.06,14.83,70.31
11.8,17.26,75.26
17.91,21.02,124.4
11.93,10.91,76.14
12.96,18.29,84.18
12.94,16.17,83.18
12.34,14.95,78.29
10.94,18.59,70.39
16.14,14.86,104.3
12.85,21.37,82.63
17.99,20.66,117.8
12.27,17.92,78.41
11.36,17.57,72.49
11.04,16.83,70.92
9.397,21.68,59.75
14.99,22.11,97.53
15.13,29.81,96.71
11.89,21.17,76.39
9.405,21.7,59.6
15.5,21.08,102.9
12.7,12.17,80.88
11.16,21.41,70.95
11.57,19.04,74.2
14.69,13.98,98.22
11.61,16.02,75.46
13.66,19.13,89.46
9.742,19.12,61.93
10.03,21.28,63.19
10.48,14.98,67.49
10.8,21.98,68.79
11.13,16.62,70.47
12.72,17.67,80.98
14.9,22.53,102.1
12.4,17.68,81.47
20.18,19.54,133.8
18.82,21.97,123.7
14.86,16.94,94.89
13.98,19.62,91.12
12.87,19.54,82.67
14.04,15.98,89.78
13.85,19.6,88.68
14.02,15.66,89.59
10.97,17.2,71.73
17.27,25.42,112.4
13.78,15.79,88.37
10.57,18.32,66.82
18.03,16.85,117.5
11.99,24.89,77.61
17.75,28.03,117.3
14.8,17.66,95.88
14.53,19.34,94.25
21.1,20.52,138.1
11.87,21.54,76.83
19.59,25,127.7
12,28.23,76.77
14.53,13.98,93.86
12.62,17.15,80.62
13.38,30.72,86.34
11.63,29.29,74.87
13.21,25.25,84.1
13,25.13,82.61
9.755,28.2,61.68
17.08,27.15,111.2
27.42,26.27,186.9
14.4,26.99,92.25
11.6,18.36,73.88
13.17,18.22,84.28
13.24,20.13,86.87
13.14,20.74,85.98
9.668,18.1,61.06
17.6,23.33,119
11.62,18.18,76.38
9.667,18.49,61.49
12.04,28.14,76.85
14.92,14.93,96.45
12.27,29.97,77.42
10.88,15.62,70.41
12.83,15.73,82.89
14.2,20.53,92.41
13.9,16.62,88.97
11.49,14.59,73.99
16.25,19.51,109.8
12.16,18.03,78.29
13.9,19.24,88.73
13.47,14.06,87.32
13.7,17.64,87.76
15.73,11.28,102.8
12.45,16.41,82.85
14.64,16.85,94.21
19.44,18.82,128.1
11.68,16.17,75.49
16.69,20.2,107.1
12.25,22.44,78.18
17.85,13.23,114.6
18.01,20.56,118.4
12.46,12.83,78.83
13.16,20.54,84.06
14.87,20.21,96.12
12.65,18.17,82.69
12.47,17.31,80.45
18.49,17.52,121.3
20.59,21.24,137.8
15.04,16.74,98.73
